uniqueID;Spec;Plotname;DBH;CBH1;CBH2;CD1;CD2;meanCD;State;SpecGroup;Height;realX;realY;realZ
BR01_629;CarBet;BR01;6,8;1,8;1,8;3,08;3,26;3,17;alive;Broad-leaved;7,157456952;476761,881;5429092,008;257,6
BR01_630;FagSyl;BR01;6,1;1,6;1,6;3,58;3,25;3,415;alive;Broad-leaved;7,298735496;476763,6179;5429091,926;257,97
BR01_631;FagSyl;BR01;5,5;1,8;1,8;3,58;3,25;3,415;alive;Broad-leaved;6,56868808;476763,6487;5429092,107;257,97
BR01_632;FagSyl;BR01;8,3;3;3;3,39;3,8;3,595;alive;Broad-leaved;9,860123169;476763,6015;5429092,794;257,69
BR01_633;CarBet;BR01;6;2,9;2,9;2,9;3,67;3,285;alive;Broad-leaved;6,348243838;476761,7812;5429094,287;257,31
BR01_634;PicAbi;BR01;11,7;0,1;0,1;3,42;3,24;3,33;alive;Coniferous;10,9618309;476762,0666;5429094,792;257,2
BR01_635;CarBet;BR01;8,3;1,7;1,7;3,67;4,81;4,24;alive;Broad-leaved;11,291;476768,1595;5429095,683;258,22464
BR01_636;FagSyl;BR01;5,8;1,9;1,9;2,85;3,11;2,98;alive;Broad-leaved;6,934849544;476764,8012;5429096,04;257,56
BR01_637;CarBet;BR01;5;3;3;2,73;3,38;3,055;alive;Broad-leaved;9,117;476769,6263;5429096,238;258,536194
BR01_638;QuePet;BR01;13,6;7,2;7,2;4,8;5,3;5,05;alive;Broad-leaved;15,008;476750,9363;5429096,844;254,607224
BR01_639;QuePet;BR01;9,5;6,4;7,3;4,3;3,6;3,95;alive;Broad-leaved;10,56580397;476748,1267;5429095,755;254,2
BR01_64;PicAbi;BR01;17,9;1,5;5,6;3,5;4,7;4,1;alive;Coniferous;16,198;476755,9623;5429077,736;258,613098
BR01_640;QuePet;BR01;20,2;5,8;9,1;5,6;5,9;5,75;alive;Broad-leaved;18,405;476754,8665;5429094,726;255,831543
BR01_641;QuePet;BR01;8,9;2,6;2,6;2,8;2,5;2,65;alive;Broad-leaved;12,973;476756,7653;5429093,956;256,236938
BR01_642;QuePet;BR01;17,9;3,5;8,2;4,2;5,5;4,85;alive;Broad-leaved;16,787;476753,6215;5429098,148;254,979614
BR01_643;QuePet;BR01;18,8;4,7;5,7;5,5;5,6;5,55;alive;Broad-leaved;15,883;476756,9935;5429096,484;255,868256
BR01_644;QuePet;BR01;10,1;4,5;4,5;3,7;3,4;3,55;alive;Broad-leaved;13,4;476758,8268;5429095,742;256,534058
